No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,wd,WSPM,AQI,AQI_Category
1.0,2013.0,3.0,1.0,0.0,,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,nw,0.5,85.0,Satisfactory
2.0,2013.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,SsE,0.7,85.0,Satisfactory
3.0,2013.0,3.0,8.0,7.0,3.0,,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,sse,14.95458546289305,74.0,Satisfactory
4.0,2013.0,3.0,1.0,3.0,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,nnw,1.0,81.0,Satisfactory
5.0,2013.0,3.0,1.0,7.0,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,nne,2.1,81.0,Satisfactory
6.0,2013.0,3.0,1.0,5.0,,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,N,1.7,71.0,Satisfactory
7.0,2013.0,3.0,1.0,6.0,4.0,6.0,12.0,22.0,500.0,,-4.5,1023.4,-19.5,Se,1.8,65.0,Satisfactory
8.0,2013.0,3.0,1.0,7.0,3.0,6.0,25.0,,600.0,48.0,-2.1,1024.6,-20.0,WnW,2.5,49.0,Good
9.0,2013.0,3.0,8.0,8.0,9.0,25.0,13.0,42.0,-1392.0460264630833,46.0,-0.2,1025.2,-20.5,EsE,2.8,52.0,Satisfactory
10.0,2013.0,3.0,1.0,9.0,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,s,3.8,73.0,Satisfactory
11.0,2013.0,3.0,1.0,10.0,,10.0,3.0,10.0,300.0,-69.59401846428396,2.0,1025.1,-21.3,N,2.2,83.0,Satisfactory
12.0,2013.0,3.0,1.0,11.0,,3.0,4.0,9.0,300.0,601.6902384209501,3.6,1024.8,,SE,2.7,81.0,Satisfactory
13.0,2013.0,3.0,1.0,12.0,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,W,,90.0,Satisfactory
,2013.0,3.0,1.0,13.0,3.0,101.0,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,Wsw,4.4,101.0,Moderate
15.0,2013.0,3.0,1.0,14.0,-86.80151781696924,60.0,5.0,6.0,300.0,94.0,5.9,,-20.5,N,3.6,94.0,Satisfactory
16.0,2013.0,3.0,1.0,15.0,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,Ne,,94.0,Satisfactory
17.0,2013.0,3.0,8.0,16.0,3.0,28.0,5.0,,300.0,92.0,5.4,1022.8,-20.0,SSW,2.2,92.0,Satisfactory
18.0,2013.0,3.0,1.0,17.0,6.0,25.0,19.0,12.0,300.0,,3.5,1023.4,-20.8,ene,2.0,88.0,Satisfactory
19.0,2013.0,3.0,1.0,18.0,4.0,,40.0,22.0,,77.0,2.7,1024.2,-20.0,Nw,3.6,77.0,Satisfactory
20.0,2013.0,3.0,1.0,19.0,7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,sse,1.7,75.0,Satisfactory
21.0,2013.0,3.0,1.0,20.0,8.0,927.1583997670172,-19.479077724030905,,300.0,80.0,1.1,1025.9,-18.3,sse,1.7,80.0,Satisfactory
22.0,2013.0,3.0,1.0,21.0,7.0,16.0,,19.0,300.0,74.0,1.6,1026.7,-17.4,sw,2.3,74.0,Satisfactory
23.0,2013.0,3.0,1.0,7.0,5.0,,-19.479077724030905,16.0,300.0,,0.4,1027.2,-17.4,sse,0.0,76.0,Satisfactory
24.0,2013.0,3.0,1.0,23.0,7.0,12.0,43.0,25.0,500.0,65.0,0.3,1027.0,-16.6,ene,1.5,65.0,Satisfactory
25.0,2013.0,3.0,2.0,0.0,,,225.2858820025741,16.0,400.0,69.0,-0.5,1027.4,-16.4,SW,3.0,69.0,Satisfactory
26.0,2013.0,3.0,8.0,1.0,12.0,,24.0,18.0,400.0,67.0,-1.8,1027.9,139.72168341311215,Ssw,0.9,67.0,Satisfactory
27.0,2013.0,3.0,2.0,2.0,13.0,9.0,,56.0,800.0,-69.59401846428396,-1.7,1027.7,-17.4,WnW,1.5,70.0,Satisfactory
28.0,2013.0,3.0,2.0,3.0,14.0,,23.0,,,,-2.5,1027.7,139.72168341311215,Nne,1.7,52.0,Satisfactory
29.0,2013.0,3.0,2.0,4.0,14.0,,24.0,,400.0,45.0,-3.4,1027.5,-17.0,NnW,0.8,45.0,Good
30.0,2013.0,3.0,2.0,5.0,13.0,13.0,37.0,57.0,600.0,,-3.5,1026.9,-16.8,Nnw,0.5,71.0,Satisfactory
31.0,2013.0,3.0,2.0,6.0,16.0,15.0,,66.0,,16.0,-3.5,1026.1,-15.8,N,0.9,82.0,Satisfactory
32.0,2013.0,3.0,2.0,7.0,19.0,,39.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,SSW,0.9,79.0,Satisfactory
33.0,2013.0,3.0,2.0,8.0,22.0,26.0,,66.0,,14.0,-2.0,1026.4,-15.1,Se,1.0,82.0,Satisfactory
34.0,2013.0,3.0,2.0,9.0,29.0,43.0,53.0,69.0,1600.0,13.0,-0.2,1026.3,,ene,0.5,86.0,Satisfactory
35.0,2013.0,3.0,2.0,10.0,46.0,70.0,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,Sw,1.3,76.0,Satisfactory
36.0,2013.0,3.0,2.0,7.0,-86.80151781696924,33.0,40.0,61.0,,28.0,1.3,1025.4,-17.1,SsE,1.1,76.0,Satisfactory
37.0,2013.0,3.0,2.0,7.0,,41.0,,51.0,,38.0,1.9,,-17.1,S,1.6,64.0,Satisfactory
38.0,2013.0,3.0,2.0,13.0,30.0,34.0,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,ssw,0.2,62.0,Satisfactory
39.0,2013.0,3.0,2.0,14.0,30.0,32.0,50.0,59.0,900.0,36.0,3.0,1021.9,-17.3,SSE,0.0,74.0,Satisfactory
40.0,2013.0,3.0,2.0,15.0,38.0,41.0,49.0,58.0,900.0,38.0,2.9,1020.9,-16.8,Ene,1.2,72.0,Satisfactory
41.0,2013.0,3.0,2.0,16.0,42.0,927.1583997670172,49.0,62.0,900.0,35.0,2.5,1020.6,-17.1,EnE,0.5,77.0,Satisfactory
42.0,2013.0,3.0,2.0,17.0,44.0,50.0,50.0,66.0,900.0,31.0,2.1,1020.2,-16.4,n,0.7,82.0,Satisfactory
43.0,2013.0,3.0,2.0,18.0,44.0,55.0,50.0,73.0,900.0,23.0,1.5,1020.4,-16.0,Sw,0.7,91.0,Satisfactory
44.0,2013.0,7.0,2.0,19.0,47.0,60.0,,76.0,1000.0,18.0,0.3,1020.0,-15.3,se,0.6,95.0,Satisfactory
45.0,2013.0,3.0,2.0,20.0,52.0,65.0,43.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,NE,0.2,104.0,Moderate
46.0,2013.0,3.0,2.0,21.0,69.0,76.0,51.0,,,9.0,-1.2,,-13.7,e,1.0,128.0,Moderate
47.0,2013.0,3.0,2.0,22.0,72.0,83.0,49.0,82.0,1600.0,,-2.1,1019.1,,W,0.4,139.0,Moderate
